date,vix_open,vix_high,vix_low,vix_close,vix_prev_close,vix_change,vix_pct_change,nifty_open,nifty_high,nifty_low,nifty_close,nifty_prev_close,nifty_change,nifty_pct_change,vix_sma_5,vix_sma_10,vix_sma_20,vix_sma_50,vix_ema_9,vix_ema_21,vix_bb_upper,vix_bb_mid,vix_bb_lower,vix_bb_width,vix_bb_pct_b,vix_atr14,vix_atr14_pct,vix_rsi14,vix_zscore20,vix_roc_1,vix_roc_5,vix_roc_10,vix_roc_20,vix_intraday_range_pts,vix_intraday_range_pct,vix_vol_of_vol10,regime,regime_num,regime_streak,vix_hist_pct,nifty_sma_20,nifty_sma_50,nifty_daily_return,nifty_vol20,vix_nifty_corr20,vix_nifty_ratio,nifty_drawdown_pct
2026-06-01,16.1900,16.9200,13.9100,16.5400,,,,23654.5000,23733.7000,23357.9500,23382.6000,,,,,,,,,,,,,,,,,,,,,,,3.0100,18.1983,,ELEVATED,3,1,58.8000,,,,,,0.7074,0.0000
2026-06-02,16.5400,16.5400,15.1200,15.3600,16.5400,-1.1800,-7.1342,23229.1500,23556.9500,23229.1500,23483.5500,23382.6000,100.9500,0.4317,,,,,,,,,,,,,,,,-7.1342,,,,1.4200,9.2448,,ELEVATED,3,2,49.9000,,,0.4317,,,0.6541,0.0000
2026-06-03,15.3600,16.9800,14.8500,16.2800,15.3600,0.9200,5.9896,23415.9500,23459.6500,23151.5000,23405.6000,23483.5500,-77.9500,-0.3319,,,,,,,,,,,,,,,,5.9896,,,,2.1300,13.0835,,ELEVATED,3,3,57.0000,,,-0.3319,,,0.6956,-0.3319
2026-06-04,16.2800,16.4100,15.5300,15.8900,16.2800,-0.3900,-2.3956,23282.4500,23465.3000,23247.3000,23416.5500,23405.6000,10.9500,0.0468,,,,,,,,,,,,,,,,-2.3956,,,,0.8800,5.5381,,ELEVATED,3,4,54.1000,,,0.0468,,,0.6786,-0.2853
2026-06-05,15.8900,16.3700,13.4600,15.7900,15.8900,-0.1000,-0.6293,23478.9500,23516.3500,23282.6500,23366.7000,23416.5500,-49.8500,-0.2129,15.9720,,,,,,,,,,,,,,,-0.6293,,,,2.9100,18.4294,,ELEVATED,3,5,53.3000,,,-0.2129,,,0.6757,-0.4976
2026-06-08,15.7900,18.4400,15.7900,17.0300,15.7900,1.2400,7.8531,23080.7000,23267.3000,23070.1500,23123.0000,23366.7000,-243.7000,-1.0429,16.0700,,,,,,,,,,,,,,,7.8531,2.9625,,,2.6500,15.5608,,ELEVATED,3,6,62.2000,,,-1.0429,,,0.7365,-1.5353
2026-06-09,17.0300,17.0300,15.5200,15.5800,17.0300,-1.4500,-8.5144,23259.0500,23279.4000,23104.4500,23242.1000,23123.0000,119.1000,0.5151,16.1140,,,,,,,,,,,,,,,-8.5144,1.4323,,,1.5100,9.6919,,ELEVATED,3,7,51.6000,,,0.5151,,,0.6703,-1.0282
2026-06-10,15.5800,15.8500,14.9000,15.6300,15.5800,0.0500,0.3209,23233.9500,23425.3500,23184.6000,23214.9500,23242.1000,-27.1500,-0.1168,15.9840,,,,,,,,,,,,,,,0.3209,-3.9926,,,0.9500,6.0781,,ELEVATED,3,8,52.0000,,,-0.1168,,,0.6733,-1.1438
2026-06-11,15.6300,15.9500,15.1200,15.6100,15.6300,-0.0200,-0.1280,23104.4000,23327.4500,23072.0500,23161.6000,23214.9500,-53.3500,-0.2298,15.9280,,,,15.9685,,,,,,,,,,,-0.1280,-1.7621,,,0.8300,5.3171,,ELEVATED,3,9,51.9000,,,-0.2298,,,0.6740,-1.3710
2026-06-12,15.6100,15.6100,14.4000,14.7200,15.6100,-0.8900,-5.7015,23412.5500,23645.3500,23313.9000,23622.9000,23161.6000,461.3000,1.9917,15.7140,15.8430,,,15.7188,,,,,,,,,,,-5.7015,-6.7764,,,1.2100,8.2201,,NORMAL,2,1,44.2000,,,1.9917,,-0.5425,0.6231,0.0000
2026-06-15,14.7200,14.7200,13.5600,14.3500,14.7200,-0.3700,-2.5136,23984.8500,24011.4000,23817.8000,23853.9000,23622.9000,231.0000,0.9779,15.1780,15.6240,,,15.4451,,,,,,,,,,,-2.5136,-15.7369,-13.2406,,1.1600,8.0836,5.2652,NORMAL,2,2,40.5000,,,0.9779,,-0.7301,0.6016,0.0000
